WKT,fishing_category_FO,mw_fishinghours,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-33.2 36.55,-33.2 36.6,-33.15 36.6,-33.15 36.55,-33.2 36.55))",Static,0.126875,Azores,02B6,7303:363:351:4,36.575,-33.175
"POLYGON ((-34.15 37.6,-34.15 37.65,-34.1 37.65,-34.1 37.6,-34.15 37.6))",Static,0.077529175,Azores,04B5,7303:374:361:1,37.625,-34.125
"POLYGON ((-27.45 41.7,-27.45 41.75,-27.4 41.75,-27.4 41.7,-27.45 41.7))",Static,0.113706046875,Azores,12C2,7402:217:374:1,41.725,-27.425
"POLYGON ((-33.65 37.2,-33.65 37.25,-33.6 37.25,-33.6 37.2,-33.65 37.2))",Static,0.213290166666667,Azores,03B6,7303:373:226:1,37.225,-33.625
"POLYGON ((-29.4 41.45,-29.4 41.5,-29.35 41.5,-29.35 41.45,-29.4 41.45))",Static,0.17620875,Azores,11C0,7402:219:143:4,41.475,-29.375
"POLYGON ((-31.15 37.0,-31.15 37.05,-31.1 37.05,-31.1 37.0,-31.15 37.0))",Static,0.099192725,Azores,03B8,7303:371:101:1,37.025,-31.125
"POLYGON ((-35.55 39.85,-35.55 39.9,-35.5 39.9,-35.5 39.85,-35.55 39.85))",Static,0.0500587125,Azores,08B4,7303:495:485:3,39.875,-35.525
"POLYGON ((-28.65 38.5,-28.65 38.55,-28.6 38.55,-28.6 38.5,-28.65 38.5))",Static,3.83996358572222,Azores,06C1,7302:488:456:1,38.525,-28.625
"POLYGON ((-29.1 40.8,-29.1 40.85,-29.05 40.85,-29.05 40.8,-29.1 40.8))",Static,0.21139875,Azores,10C0,7402:209:380:2,40.825,-29.075
"POLYGON ((-33.95 38.85,-33.95 38.9,-33.9 38.9,-33.9 38.85,-33.95 38.85))",Static,0.0500598875,Azores,06B6,7303:383:489:3,38.875,-33.925
"POLYGON ((-30.4 36.75,-30.4 36.8,-30.35 36.8,-30.35 36.75,-30.4 36.75))",Static,0.172871986111111,Azores,02B9,7303:360:373:4,36.775,-30.375
"POLYGON ((-33.05 38.05,-33.05 38.1,-33.0 38.1,-33.0 38.05,-33.05 38.05))",Static,0.077529175,Azores,05B6,7303:383:100:3,38.075,-33.025
"POLYGON ((-35.2 39.6,-35.2 39.65,-35.15 39.65,-35.15 39.6,-35.2 39.6))",Static,0.123883375,Azores,08B4,7303:495:361:2,39.625,-35.175
"POLYGON ((-34.7 39.55,-34.7 39.6,-34.65 39.6,-34.65 39.55,-34.7 39.55))",Static,0.0951289583333332,Azores,08B5,7303:394:456:4,39.575,-34.675
"POLYGON ((-26.9 41.85,-26.9 41.9,-26.85 41.9,-26.85 41.85,-26.9 41.85))",Static,0.1422911875,Azores,12C3,7402:216:488:4,41.875,-26.875
"POLYGON ((-33.5 38.45,-33.5 38.5,-33.45 38.5,-33.45 38.45,-33.5 38.45))",Static,0.066171875,Azores,05B6,7303:383:144:4,38.475,-33.475
"POLYGON ((-32.9 37.4,-32.9 37.45,-32.85 37.45,-32.85 37.4,-32.9 37.4))",Static,1.16689013541667,Azores,03B7,7303:372:248:2,37.425,-32.875
"POLYGON ((-34.15 37.4,-34.15 37.45,-34.1 37.45,-34.1 37.4,-34.15 37.4))",Static,0.07751,Azores,03B5,7303:374:141:1,37.425,-34.125
"POLYGON ((-30.9 36.35,-30.9 36.4,-30.85 36.4,-30.85 36.35,-30.9 36.35))",Static,0.12296375,Azores,01B9,7303:360:238:4,36.375,-30.875
"POLYGON ((-28.75 41.8,-28.75 41.85,-28.7 41.85,-28.7 41.8,-28.75 41.8))",Static,0.0509737708333335,Azores,12C1,7402:218:487:1,41.825,-28.725
"POLYGON ((-32.85 37.5,-32.85 37.55,-32.8 37.55,-32.8 37.5,-32.85 37.5))",Static,0.065625,Azores,04B7,7303:372:458:1,37.525,-32.825
"POLYGON ((-33.3 37.9,-33.3 37.95,-33.25 37.95,-33.25 37.9,-33.3 37.9))",Static,0.124033,Azores,04B6,7303:373:392:2,37.925,-33.275
"POLYGON ((-23.45 40.65,-23.45 40.7,-23.4 40.7,-23.4 40.65,-23.45 40.65))",Static,0.0505525,Azores,10C6,7402:103:364:3,40.675,-23.425
"POLYGON ((-24.95 41.1,-24.95 41.15,-24.9 41.15,-24.9 41.1,-24.95 41.1))",Static,0.1258148,Azores,11C5,7402:114:219:1,41.125,-24.925
"POLYGON ((-34.4 40.25,-34.4 40.3,-34.35 40.3,-34.35 40.25,-34.4 40.25))",Static,0.265708208333333,Azores,09B5,7403:104:123:4,40.275,-34.375
"POLYGON ((-34.4 41.7,-34.4 41.75,-34.35 41.75,-34.35 41.7,-34.4 41.7))",Static,0.204402925,Azores,12B5,7403:114:373:2,41.725,-34.375
"POLYGON ((-34.4 39.0,-34.4 39.05,-34.35 39.05,-34.35 39.0,-34.4 39.0))",Static,0.12296375,Azores,07B5,7303:394:103:2,39.025,-34.375
"POLYGON ((-34.8 38.1,-34.8 38.15,-34.75 38.15,-34.75 38.1,-34.8 38.1))",Static,0.124033,Azores,05B5,7303:384:217:2,38.125,-34.775
"POLYGON ((-34.5 37.65,-34.5 37.7,-34.45 37.7,-34.45 37.65,-34.5 37.65))",Static,0.12578125,Azores,04B5,7303:374:364:4,37.675,-34.475
"POLYGON ((-30.85 37.5,-30.85 37.55,-30.8 37.55,-30.8 37.5,-30.85 37.5))",Static,2.176487025,Azores,04B9,7303:370:458:1,37.525,-30.825
"POLYGON ((-29.4 41.75,-29.4 41.8,-29.35 41.8,-29.35 41.75,-29.4 41.75))",Static,0.213237,Azores,12C0,7402:219:373:4,41.775,-29.375
"POLYGON ((-24.6 41.3,-24.6 41.35,-24.55 41.35,-24.55 41.3,-24.6 41.3))",Static,0.222890656666667,Azores,11C5,7402:114:235:2,41.325,-24.575
"POLYGON ((-24.85 41.3,-24.85 41.35,-24.8 41.35,-24.8 41.3,-24.85 41.3))",Static,0.063282425,Azores,11C5,7402:114:238:1,41.325,-24.825
"POLYGON ((-34.85 40.75,-34.85 40.8,-34.8 40.8,-34.8 40.75,-34.85 40.75))",Static,0.06673655,Azores,10B5,7403:104:478:3,40.775,-34.825
"POLYGON ((-35.45 39.35,-35.45 39.4,-35.4 39.4,-35.4 39.35,-35.45 39.35))",Static,0.0592155333333333,Azores,07B4,7303:495:134:3,39.375,-35.425
"POLYGON ((-33.85 37.2,-33.85 37.25,-33.8 37.25,-33.8 37.2,-33.85 37.2))",Static,0.30027075,Azores,03B6,7303:373:228:1,37.225,-33.825
"POLYGON ((-28.05 36.25,-28.05 36.3,-28.0 36.3,-28.0 36.25,-28.05 36.25))",Static,0.0753875,Azores,01C1,7302:468:120:3,36.275,-28.025
"POLYGON ((-33.35 36.45,-33.35 36.5,-33.3 36.5,-33.3 36.45,-33.35 36.45))",Static,0.245985,Azores,01B6,7303:363:143:3,36.475,-33.325
"POLYGON ((-33.7 39.2,-33.7 39.25,-33.65 39.25,-33.65 39.2,-33.7 39.2))",Static,0.078203325,Azores,07B6,7303:393:226:2,39.225,-33.675
"POLYGON ((-26.45 41.55,-26.45 41.6,-26.4 41.6,-26.4 41.55,-26.45 41.55))",Static,0.0753875,Azores,12C3,7402:216:354:3,41.575,-26.425
"POLYGON ((-34.3 38.85,-34.3 38.9,-34.25 38.9,-34.25 38.85,-34.3 38.85))",Static,0.0775291666666668,Azores,06B5,7303:384:382:4,38.875,-34.275
"POLYGON ((-29.35 36.0,-29.35 36.05,-29.3 36.05,-29.3 36.0,-29.35 36.0))",Static,48.5851325,Azores,01C0,7302:469:103:1,36.025,-29.325
"POLYGON ((-24.3 40.7,-24.3 40.75,-24.25 40.75,-24.25 40.7,-24.3 40.7))",Static,0.056537361111111,Azores,10C5,7402:104:372:2,40.725,-24.275
"POLYGON ((-32.3 36.25,-32.3 36.3,-32.25 36.3,-32.25 36.25,-32.3 36.25))",Static,0.1989880625,Azores,01B7,7303:362:122:4,36.275,-32.275
"POLYGON ((-29.55 41.5,-29.55 41.55,-29.5 41.55,-29.5 41.5,-29.55 41.5))",Static,0.038498625,Azores,12C0,7402:219:455:1,41.525,-29.525
"POLYGON ((-35.05 39.15,-35.05 39.2,-35.0 39.2,-35.0 39.15,-35.05 39.15))",Static,0.146605825,Azores,07B4,7303:495:110:3,39.175,-35.025
"POLYGON ((-23.1 40.0,-23.1 40.05,-23.05 40.05,-23.05 40.0,-23.1 40.0))",Static,0.0563739583333333,Azores,09C6,7402:103:100:2,40.025,-23.075
"POLYGON ((-32.2 36.9,-32.2 36.95,-32.15 36.95,-32.15 36.9,-32.2 36.9))",Static,0.175965008333333,Azores,02B7,7303:362:391:2,36.925,-32.175
"POLYGON ((-34.45 37.85,-34.45 37.9,-34.4 37.9,-34.4 37.85,-34.45 37.85))",Static,0.07751,Azores,04B5,7303:374:384:3,37.875,-34.425
"POLYGON ((-34.5 38.6,-34.5 38.65,-34.45 38.65,-34.45 38.6,-34.5 38.6))",Static,0.12578125,Azores,06B5,7303:384:364:2,38.625,-34.475
"POLYGON ((-28.6 41.85,-28.6 41.9,-28.55 41.9,-28.55 41.85,-28.6 41.85))",Static,0.0757862083333332,Azores,12C1,7402:218:485:4,41.875,-28.575
"POLYGON ((-29.0 41.5,-29.0 41.55,-28.95 41.55,-28.95 41.5,-29.0 41.5))",Static,0.077529175,Azores,12C1,7402:218:459:2,41.525,-28.975
"POLYGON ((-30.95 41.55,-30.95 41.6,-30.9 41.6,-30.9 41.55,-30.95 41.55))",Static,0.149739583333333,Azores,12B9,7403:110:459:3,41.575,-30.925
"POLYGON ((-33.7 36.9,-33.7 36.95,-33.65 36.95,-33.65 36.9,-33.7 36.9))",Static,0.12578125,Azores,02B6,7303:363:496:2,36.925,-33.675
"POLYGON ((-35.35 39.5,-35.35 39.55,-35.3 39.55,-35.3 39.5,-35.35 39.5))",Static,0.0927034945833333,Azores,08B4,7303:495:353:1,39.525,-35.325
"POLYGON ((-34.4 39.15,-34.4 39.2,-34.35 39.2,-34.35 39.15,-34.4 39.15))",Static,0.4868485,Azores,07B5,7303:394:113:4,39.175,-34.375
"POLYGON ((-32.55 37.6,-32.55 37.65,-32.5 37.65,-32.5 37.6,-32.55 37.6))",Static,0.143153275,Azores,04B7,7303:372:465:1,37.625,-32.525
"POLYGON ((-31.55 36.1,-31.55 36.15,-31.5 36.15,-31.5 36.1,-31.55 36.1))",Static,0.0951289583333332,Azores,01B8,7303:361:215:1,36.125,-31.525
"POLYGON ((-33.75 41.6,-33.75 41.65,-33.7 41.65,-33.7 41.6,-33.75 41.6))",Static,0.2026255,Azores,12B6,7403:113:467:1,41.625,-33.725
"POLYGON ((-22.75 36.05,-22.75 36.1,-22.7 36.1,-22.7 36.05,-22.75 36.05))",Static,24.1642075,Azores,01C7,7302:362:207:3,36.075,-22.725
"POLYGON ((-30.7 36.0,-30.7 36.05,-30.65 36.05,-30.65 36.0,-30.7 36.0))",Static,1.319692,Azores,01B9,7303:360:206:2,36.025,-30.675
